,PA,cover,suitability9,suitability12,bathy_m,slope,bpi_broad,bpi_fine,sub_type,rei,temp1m_median,temp1m_qrange,ws1m_q90,coords$lat,coords$lon
661,0,0,179,180,-5.486132145,0.654941142,15,8,3,0.140336856,10.66899967,0.825999975,0.101000004,43.919151,-64.78652641
662,0,0,164,118,-5.486132145,10.31667709,8,4,3,0.103293113,9.836000443,0.535000026,0.059999999,43.91854146,-64.80525383
663,0,0,289,230,-3.657421589,2.540680885,11,7,3,0.066563025,10.39299965,0.693000019,0.039999999,43.91631922,-64.82611121
665,0,0,277,165,-4.571776867,1.623359203,17,10,3,0.123028919,10.4829998,0.744000018,0.054000001,43.91450187,-64.80164434
667,0,0,426,386,-2.934999943,1.433845878,20,6,0,0.072834857,12.47399998,1.746999979,0.096000001,43.90542802,-64.77739882
669,0,0,51,68,-10.66747952,5.055151939,12,8,3,0.32907784,10.04899979,1.136999965,0.045000002,43.90419665,-64.75513428
670,0,0,289,173,-4.571776867,2.392792463,13,5,1,0.004792792,11.01900005,0.824999988,0.027000001,43.89710965,-64.80547757
671,0,0,97,112,-6.552880287,1.9234761,14,1,1,0.160419717,10.88700008,1.174000025,0.135000005,43.89653404,-64.7819278
676,0,0,584,609,-1.143912435,0.816351712,4,0,1,0.003434399,22.67099953,3.038000107,0.105999999,43.87275481,-64.90798162
682,0,0,761,733,-0.460776567,0.135947615,8,1,1,0.003977562,21.05800056,3.282999992,0.246000007,43.8679329,-64.89476049
685,0,0,584,591,-2.636391401,0.063258246,8,0,1,0.030131271,19.80500031,3.868000031,0.147,43.86146283,-64.88584494
686,0,0,74,83,-5.18134737,1.474773407,15,7,3,0.471701205,11.94799995,1.430999994,0.130999997,43.86242137,-64.7870086
687,0,0,100,97,-5.028954506,3.330583096,15,2,3,0.289107412,12.61699963,1.86500001,0.077,43.86159325,-64.79961423
689,0,0,55,76,-6.095702648,2.04258275,12,5,3,0.459088176,11.31599998,1.180999994,0.078000002,43.85820384,-64.7947217
693,0,0,618,507,-3.306918621,0.203563869,11,0,1,0.055864312,17.11700058,4.284999847,0.155000001,43.84988823,-64.88069019
696,0,0,88,100,-4.41938448,1.885481596,16,6,3,0.365728915,11.51000023,1.088000059,0.064999998,43.84887059,-64.8070694
697,0,0,176,130,-4.086789608,1.73956275,18,8,0,0.26071471,11.56900024,1.103000045,0.079999998,43.8469532,-64.80875319
701,0,0,578,572,-2.133495808,0.087721325,7,0,1,0.002867941,19.48800087,4.375,0.182999998,43.84166942,-64.9387733
702,0,0,104,108,-4.571776867,1.826483369,16,3,1,0.304636627,13.15200043,1.588000059,0.071000002,43.84291746,-64.82474078
704,0,0,60,76,-6.095702648,2.996720314,14,6,3,0.44698441,11.3210001,1.269000053,0.135000005,43.84093422,-64.81074818
705,0,0,476,511,-1.462968588,0.957818687,7,1,1,0.002202428,20.04700089,4.195000172,0.268000007,43.83773459,-64.94778829
708,0,0,236,213,-5.62328577,0.051788393,13,0,1,0.135243148,13.62899971,2.838000059,0.127000004,43.83685972,-64.86809103
711,0,0,55,82,-4.266991615,4.058030128,7,5,3,0.486189336,10.42199993,0.889999986,0.090999998,43.83202516,-64.81613779
712,0,0,95,166,-6.888144016,0.272306293,11,-1,1,0.194325045,13.06499958,2.46600008,0.128000006,43.83083981,-64.87007971
718,0,0,69,109,-7.116732597,1.063377976,11,1,3,0.246368334,12.8380003,1.465999961,0.078000002,43.82068967,-64.87411507
721,0,0,61,76,-10.54556561,4.111134529,9,0,3,0.245571077,12.22900009,1.383000016,0.071999997,43.81844923,-64.87622104
723,0,0,123,186,-4.526059151,0.257196724,16,2,3,0.301709443,14.25500011,1.603999972,0.093000002,43.81759386,-64.85138734
725,0,0,266,193,-5.790917397,1.019981623,12,-1,1,0.053638346,14.70400047,4.823999882,0.333000004,43.81098071,-64.92733607
726,0,0,70,94,-6.491923332,3.09808445,13,3,3,0.23134166,13.57400036,1.215000033,0.037,43.80978769,-64.88552313
730,0,0,73,93,-5.089911461,2.412039518,16,6,3,0.33474192,13.93000031,1.261000037,0.052000001,43.80446202,-64.8836151
731,0,0,241,208,-5.638525009,0.371795326,12,0,1,0.118921742,14.12300014,4.074999809,0.194000006,43.80348042,-64.92361399
732,0,0,575,599,-1.676318169,0.400574982,17,4,3,0.090469494,15.07499981,3.506000042,0.246999994,43.80061652,-64.9252624
733,0,0,131,172,-6.705272675,0.133112416,12,0,1,0.168868348,13.61200047,2.84100008,0.194999993,43.80072626,-64.91873964
734,0,0,108,103,-4.876562119,5.758039951,15,2,3,0.232729733,13.83600044,2.621999979,0.137999997,43.7955992,-64.92379611
735,0,0,81,90,-4.687600136,1.403465748,19,7,0,0.451526254,14.90999985,1.69599998,0.159999996,43.79623711,-64.88553189
736,0,0,80,129,-8.076806068,0.513830721,11,0,1,0.228714719,12.71100044,1.945000052,0.128000006,43.79444172,-64.9176684
737,0,0,59,85,-8.838768959,2.346959352,12,0,3,0.267576158,12.97999954,1.684000015,0.103,43.79291068,-64.91500925
738,0,0,88,96,-4.577199936,2.161133051,18,3,0,0.362199217,14.28999996,1.35800004,0.044,43.7918615,-64.90236011
739,0,0,105,126,-3.809813976,2.442680359,17,4,3,0.277120203,14.83199978,1.896999955,0.097000003,43.79137959,-64.91235024
740,0,0,387,405,-3.200243711,0.392941266,4,0,1,0.002427735,19.27499962,1.386000037,0.039999999,43.73725192,-65.37827992
741,0,0,253,183,-3.425348282,2.611697674,21,5,0,0.158264622,14.7840004,1.264999986,0.094999999,43.74124249,-64.969866
744,0,0,457,475,-2.590673685,0.830357254,5,5,3,0.021578195,16.61499977,1.184000015,0.086999997,43.68828191,-65.33856198
745,0,0,251,222,-3.074249983,2.727899313,14,8,0,0.109334685,13.55900002,1.167000055,0.052000001,43.6873287,-65.17958584
746,0,0,348,249,-5.028954506,0.888041019,6,1,1,0.035645071,15.57699966,1.363999963,0.119999997,43.6798293,-65.30479971
747,0,0,260,181,-4.876562119,2.024412155,9,4,1,0.061756421,15.47799969,1.598999977,0.147,43.67398628,-65.29762935
748,0,0,296,268,-5.638525009,0.355264664,6,0,1,0.027174797,15.92700005,1.184999943,0.055,43.65894882,-65.32440096
749,0,0,378,202,-5.028954506,1.423202872,17,10,3,0.069984175,14.35400009,2.47300005,0.123999998,43.64999203,-65.28412829
754,0,0,339,218,-5.028954506,0.477702141,13,0,1,0.117326736,15.36499977,1.256000042,0.082000002,43.62776659,-65.3236322
756,0,0,95,146,-9.448338509,0.062447824,11,0,1,0.201132104,13.87100029,1.047999978,0.085000001,43.61888108,-65.31114438
757,0,0,82,130,-8.991161346,0.489161789,12,0,1,0.207099587,14.32400036,0.975000024,0.086999997,43.612321,-65.30829071
758,0,0,320,250,-3.962206602,0.574070394,17,1,3,0.178035021,15.38000011,1.228999972,0.101000004,43.6096089,-65.3177283
759,0,0,399,356,-2.285888433,1.152501464,2,1,1,0.002470654,19,1.184999943,0.034000002,43.58565382,-65.45380244
760,0,0,524,518,-2.743066072,0.163809389,3,1,1,0.014489745,19.03300095,1.383000016,0.056000002,43.58179173,-65.42806919
761,0,0,580,550,-2.743066072,0.086155713,2,0,1,0.041271631,NA,NA,NA,43.55959002,-65.57841114
762,0,0,359,310,-2.590673685,3.566935778,6,4,3,0.027279612,17.09300041,1.149999976,0.090999998,43.56252711,-65.41516087
763,0,0,430,285,-5.028954506,0.147807419,2,1,1,0.024334939,17.20800018,0.874000013,0.082000002,43.56180797,-65.43419966
764,0,0,436,299,-2.743066072,2.74034667,4,2,1,0.022607528,17.8010006,0.958999991,0.07,43.5610582,-65.43980297
766,0,0,222,230,-6.705272675,0.360783786,1,0,1,0.025452554,16.33499908,1.06400001,0.089000002,43.55129592,-65.42467746
767,0,0,441,313,-4.114599228,0.169526145,1,0,1,0.101122655,NA,NA,NA,43.54622793,-65.57004285
768,0,0,420,584,-1.066747904,1.896555781,16,1,3,0.040504239,16.04999924,1.299999952,0.119999997,43.54608893,-65.37247974
770,0,0,150,485,-2.590673685,0.246536493,10,-2,1,0.119519986,15.04399967,1.213000059,0.172000006,43.53357456,-65.38325075
771,0,0,381,594,-1.21914053,0.454625905,14,3,1,0.112202279,14.99300003,1.355000019,0.148000002,43.53122581,-65.39008835
773,0,0,115,328,-2.743066072,1.290554523,10,-1,1,0.110723414,14.50500011,0.94599998,0.097999997,43.52705093,-65.39382135
774,0,0,164,529,-1.828710794,0.457006514,12,0,1,0.118527912,14.62699986,0.94599998,0.100000001,43.52519793,-65.39201567
779,0,0,162,522,-2.255409956,0.115107179,14,0,1,0.138852268,14.29599953,0.787999988,0.094999999,43.51612088,-65.38905873
781,0,0,366,595,-1.21914053,0.622082293,16,1,1,0.120561011,14.74600029,1.15199995,0.089000002,43.51370829,-65.3989227
782,0,0,185,189,-8.076806068,0.436727494,0,0,1,0.082417816,NA,NA,NA,43.50823045,-65.56409936
783,0,0,329,231,-3.047851324,2.239858866,11,6,3,0.105540566,16.58399963,1.011000037,0.063000001,43.50803192,-65.44372638
784,0,0,93,370,-2.743066072,0.232752964,14,1,3,0.199980274,13.86600018,0.702000022,0.068000004,43.50779977,-65.380071
785,0,0,511,562,-1.828710794,0.647048473,11,5,3,0.072655767,16.94300079,0.757000029,0.063000001,43.50467939,-65.4531158
787,0,0,180,162,-10.36269474,0.125585213,4,0,1,0.134881109,14.92099953,0.957000017,0.059999999,43.50188243,-65.43655141
788,0,0,246,537,-1.21914053,0.543597877,19,1,3,0.175268129,14.67700005,1.093999982,0.050000001,43.50207612,-65.39759595
789,0,0,126,180,-3.809813976,1.374499083,10,2,3,0.172782868,15.92199993,0.833999991,0.068000004,43.49877125,-65.44941325
790,0,0,286,286,-2.133495808,1.593873024,11,3,3,0.153670341,NA,NA,NA,43.48802838,-65.4944253
792,0,0,189,259,-3.962206602,0.48257336,8,0,3,0.154215515,NA,NA,NA,43.48641635,-65.49609017
793,0,0,84,126,-10.05790901,0.115308426,2,0,1,0.249854773,NA,NA,NA,43.48352813,-65.5271321
794,0,0,254,264,-3.352636337,0.757598162,11,1,1,0.172598764,NA,NA,NA,43.48120534,-65.48938388
795,0,0,123,148,-5.943309784,0.524608314,9,0,1,0.210408658,NA,NA,NA,43.47828683,-65.49315877
796,0,0,66,90,-10.66747952,1.084562659,8,-1,3,0.27128163,15.50199986,1.049999952,0.333000004,43.46801609,-65.4581219
797,0,0,82,125,-5.943309784,0.468045473,10,4,3,0.312288791,NA,NA,NA,43.46465377,-65.49692464
798,0,0,107,105,-4.571776867,2.510778427,16,7,3,0.2911838,15.99100018,0.296999991,0.49000001,43.46383914,-65.46184641
799,0,0,72,99,-6.248095036,1.153052568,10,4,3,0.314382166,NA,NA,NA,43.46120927,-65.49591753
156,1,0,548,362,-2.020671129,2.083598375,19,7,1,0.000950389,NA,NA,NA,45.11084485,-61.6776332
186,1,0,611,470,-1.364022851,1.692085385,16,2,1,0.002337336,NA,NA,NA,45.07143934,-61.85016923
250,1,0,558,732,-0.473035127,0.158059835,14,2,1,0.002439903,14.41899967,1.245000005,0.118000001,44.91532039,-62.2962671
317,1,0,82,144,-7.908927441,0.404485315,11,-1,1,0.206490904,11.17300034,1.226999998,0.079999998,44.77175412,-62.66735292
324,1,0,226,246,-6.82735157,0.23267369,9,0,1,0.01955153,11.8760004,1.008999944,0.057999998,44.75965336,-62.73950605
612,1,0,490,462,-3.657421589,0.431098104,17,-1,1,0.0732769,12.38799953,3.187000036,0.223000005,44.21688463,-64.35473391
683,1,0,682,634,-1.386772275,0.141710833,7,0,1,0.003782609,21.18700027,3.796999931,0.171000004,43.86371548,-64.90203111
703,1,0,481,303,-4.312709332,0.142941773,13,0,1,0.121515639,14.48499966,3.595000029,0.126000002,43.84052522,-64.87517144
709,1,0,720,679,-1.523925662,0.232299492,9,1,1,0.026999649,19.85300064,4.710999966,0.335999995,43.83525206,-64.94553082
715,1,0,668,526,-1.523925662,0.440231055,13,2,1,0.00143144,18.14800072,4.736000061,0.059,43.82571007,-64.93216276
728,1,0,633,530,-2.743066072,0.829724491,16,2,1,0.052003957,15.6960001,4.204999924,0.270000011,43.80624905,-64.927619
752,1,0,654,377,-3.047851324,1.485223413,17,1,1,0.002763055,17.15399933,1.746999979,0.079999998,43.64078339,-65.30330576
753,1,0,531,323,-3.962206602,0.386713475,14,0,3,0.134549215,15.99300003,1.664000034,0.108999997,43.63538549,-65.32088872
772,1,0,516,634,-0.365742147,1.107993484,14,4,1,0.100744061,15.36800003,1.537999988,0.085000001,43.53063865,-65.40305905
791,1,0,182,157,-7.162450314,0.628369272,6,0,1,0.15465197,NA,NA,NA,43.48666504,-65.49913012
531,1,0.065789476,NA,NA,0,NA,16,17,3,NA,11.23799992,0.907000005,0.028999999,44.4091366,-64.26905095
242,1,0.166666672,259,204,-3.825928688,1.023350358,20,2,0,0.219645232,13.70199966,1.029999971,0.046999998,44.93910033,-62.0550984
524,1,0.425000012,293,183,-3.816124916,2.959265947,21,7,0,0.128841043,12.04100037,1.06099999,0.104000002,44.4383423,-64.09596251
133,1,0.5,NA,NA,-0.899999976,0.689200282,1,0,1,NA,21.26300049,0.287,0.014,45.13961288,-61.9965924
743,1,0.600000024,207,147,-3.926789522,2.775625944,15,3,0,0.192719802,14.96500015,1.662999988,0.169,43.69382619,-65.08470769
395,1,0.625,681,642,0,0.672812998,20,2,1,0.127185747,13.86999989,2.266000032,0.135000005,44.70939637,-62.82058983
399,1,0.625,553,580,-0.794657707,1.627492785,20,1,2,0.123484008,13.54100037,1.837000012,0.112000003,44.70878497,-62.83296334
17,1,0.675000012,NA,NA,-3.472656488,NA,36,5,0,NA,NA,NA,NA,45.31140453,-60.96214337
358,1,0.833333313,631,692,-0.681007862,0.575908363,13,4,1,0.00219258,14.36200047,4.659999847,0.414999992,44.72434579,-63.00970346
136,1,1,528,495,-2.271466255,0.427889526,18,0,3,0.148349687,NA,NA,NA,45.1315167,-61.56321092
217,1,1,693,624,-2,0.338686615,16,2,1,0.076874807,15.73900032,2.480000019,0.072999999,45.05007824,-61.88837677
383,1,1,673,658,-0.200000003,0.014400274,10,0,1,0.001690738,19.96500015,3.640000105,0.151999995,44.71324189,-63.13210172
385,1,1,719,676,0,0.004248198,10,0,1,0.001855255,19.69099998,3.654000044,0.151999995,44.7119841,-63.12988952
419,1,1,637,734,-0.899999976,0.404771984,9,0,2,0.047366261,16.6989994,6.357999802,0.243000001,44.70278588,-63.17537416
438,1,1,NA,NA,0,NA,12,0,1,0.001160286,11.89799976,1.577000022,0.063000001,44.69685186,-63.13692374
461,1,1,381,446,-1.183923125,1.046522737,10,3,2,0.166704163,12.61499977,3.072000027,0.244000003,44.68577876,-63.17046448
554,1,1,616,471,-1.371533036,1.972994804,15,2,1,0.00474915,12.70600033,1.162999988,0.138999999,44.39537408,-64.23095845
750,1,1,568,328,-4.41938448,0.664842665,12,0,1,0.063437141,16.88699913,1.345000029,0.086000003,43.64814794,-65.31313479
490,1,1.174999952,443,514,-3.608299971,2.426383495,34,17,0,0.042147059,9.413999557,1.162999988,0.035999998,44.57899028,-63.94165593
491,1,1.174999952,443,242,-4.931049824,1.082484484,21,28,0,0.019284869,9.687000275,0.490999997,0.035999998,44.54762788,-64.19538874
434,1,1.25,655,632,0,0.905657768,23,2,2,0.005830748,13.18200016,1.437000036,0.264999986,44.69839983,-62.8418285
534,1,1.25,NA,NA,-0.462333202,NA,15,16,2,NA,10.56999969,0.629999995,0.027000001,44.40813771,-64.27386464
645,1,1.25,575,638,-0.317996204,0.022383291,5,1,1,0.000654033,19.7670002,3.099999905,0.043000001,44.14708936,-64.60958623
126,1,1.399999976,127,120,-8.546905518,0.874845326,9,3,2,0.230203673,NA,NA,NA,45.14027091,-61.58302341
724,1,1.850000024,147,96,-4.231500149,4.781327724,17,4,0,0.34484762,14.81999969,1.713999987,0.093999997,43.81579554,-64.84567421
86,1,2,191,205,-2.710775375,2.718063116,12,4,0,0.15603219,NA,NA,NA,45.15757193,-61.63246808
139,1,2,NA,NA,-1.5,0.085446097,0,0,1,NA,21.20999908,0.286000013,0.025,45.1342185,-61.99223584
786,1,2,436,241,-5.18134737,0.502022684,4,0,1,0.081271403,NA,NA,NA,43.50035959,-65.56376603
357,1,2.5,610,519,-0.584110618,6.229783058,13,4,1,0.002987362,13.92599964,4.481999874,0.540000021,44.72497615,-63.00705176
386,1,2.5,640,600,0,1.048702598,20,2,1,0.109051697,14.09000015,2.697000027,0.046,44.71190786,-62.81483779
390,1,2.5,694,662,0,0.668649137,20,2,1,0.103716828,13.81099987,2.539999962,0.090999998,44.7103353,-62.81661023
469,1,2.5,644,569,-2.5,0,5,0,1,0.002792196,16.29899979,2.812000036,0.050999999,44.66798949,-63.45387695
470,1,2.5,645,579,-2.5,0,6,0,1,0.003609568,14.26000023,0.772000015,0.048,44.66740096,-63.44327565
471,1,2.5,617,575,-2.5,0,6,0,1,0.002982854,15.95699978,2.187999964,0.067000002,44.66705825,-63.45033747
472,1,2.5,645,578,-2.5,0,6,0,1,0.003620678,13.68900013,0.677999973,0.046999998,44.66646428,-63.44106091
619,1,2.5,650,640,0,0,6,1,1,0.001513476,20.16200066,3.34100008,0.050999999,44.1595888,-64.5946059
621,1,2.5,705,712,-0.423709452,0.728235364,5,1,1,0.017316857,19.84499931,3.04399991,0.050999999,44.15861326,-64.59676819
629,1,2.5,506,522,-1.47015059,0.958536088,5,0,1,0.002396611,19.32099915,2.621999979,0.086999997,44.15423394,-64.59446166
630,1,2.5,570,562,0,0.478579968,4,1,1,0.001575782,21.06699944,3.417999983,0.021,44.15331505,-64.61500756
634,1,2.5,627,565,-0.095494926,0.397765338,4,1,1,0.001164521,20.63699913,3.161999941,0.041999999,44.15111012,-64.61494741
640,1,2.5,536,559,-1.831992388,0.258414567,4,0,1,0.002362006,18.32099915,2.500999928,0.083999999,44.14905317,-64.60438791
650,1,2.5,611,520,-1.687741518,1.086312652,17,0,1,0.002884522,16.06699944,3.750999928,0.090000004,44.1463112,-64.52860508
652,1,2.5,448,291,-3.577397346,2.383012295,15,-1,2,0.002302539,16.28100014,3.838999987,0.134000003,44.14477129,-64.52593967
672,1,2.5,722,723,-0.558629632,0.201741874,4,0,1,0.003125128,22.69300079,3.315999985,0.082000002,43.87493767,-64.90935816
675,1,2.5,748,741,-0.70805788,0.048299495,5,0,1,0.003265973,22.3560009,3.026000023,0.137999997,43.87347912,-64.90234173
681,1,2.5,764,767,-0.663428307,0.059699174,6,0,1,0.027603002,21.60499954,3.405999899,0.202000007,43.86877652,-64.90088536
494,1,2.724999905,590,310,-2.960500002,5.55630064,23,19,0,0.054529987,10.64099979,0.600000024,0.055,44.51500874,-64.21101549
695,1,4,549,345,-4.190795422,0.172963455,11,0,1,0.09715195,15.25699997,3.522000074,0.133000001,43.84780505,-64.87322242
500,1,4.867965221,395,579,-2.844194889,3.649058104,34,8,0,0.039110556,11.05000019,1.031999946,0.097999997,44.47754938,-63.77102667
387,1,5,746,720,0,0.345962614,20,2,2,0.058602232,13.84799957,2.167000055,0.090000004,44.71035713,-62.83074954
443,1,5,510,502,-1,2.0330019,10,2,2,0.125053689,14.06200027,5.741000175,0.282000005,44.69522186,-63.17667655
765,1,5,640,748,-0.929594636,0.27528882,13,0,1,0.03390079,16.98200035,1.521000028,0.052000001,43.55317804,-65.38012394
129,1,5.099999905,247,180,-5.643018246,1.415560842,13,5,1,0.066416606,NA,NA,NA,45.13762298,-61.59822389
50,1,5.466666698,502,506,-0.142093256,1.362130165,14,6,0,0.002087038,NA,NA,NA,45.16745815,-61.64247515
389,1,5.625,756,728,0,0.226706624,20,2,1,0.060409497,14.03899956,2.302000046,0.108999997,44.71034643,-62.82367988
408,1,5.833333492,558,460,-2.906534672,0.362609535,18,0,1,0.137749523,12.7159996,1.504999995,0.119000003,44.70688859,-62.82899233
719,1,6,728,653,-1.523925662,0.632966459,14,1,1,0.027743062,17.23699951,5.302999973,0.298000008,43.81845143,-64.93279902
65,1,6.099999905,177,161,-4.794742107,0.596196353,12,1,1,0.261940718,NA,NA,NA,45.16114323,-61.51481635
351,1,7,723,713,-0.400000006,0.32388258,7,1,1,0.002781989,19.5340004,6.197000027,0.333000004,44.72712547,-63.11357002
755,1,7,562,325,-5.028954506,0.232827172,13,0,1,0.063833199,15.45699978,1.01699996,0.054000001,43.62000623,-65.33330994
300,1,8.399999619,628,705,-0.972128272,0.367570728,17,2,1,0.0026686,12.90400028,1.325999975,0.039000001,44.80824166,-62.55649269
477,1,8.75,509,507,-2.557400703,0.304102868,6,0,1,0.002779937,14.26099968,0.874000013,0.030999999,44.6633101,-63.44191999
178,1,10,720,672,-0.061635673,0.120228723,9,1,1,0.002233138,20.73200035,5.149000168,0.152999997,45.07469953,-61.92613976
179,1,10,652,667,-0.619475961,0.85457325,8,0,1,0.002063646,20.96899986,4.993000031,0.157000005,45.07409457,-61.92881899
188,1,10,609,635,-0.821377933,0.988062561,8,0,1,0.002076491,20.44000053,6.136000156,0.148000002,45.07155363,-61.92664331
189,1,10,477,425,-2.28431654,1.658403039,7,0,1,0.024973368,20.02300072,6.493999958,0.171000004,45.07152015,-61.9230869
356,1,10,737,698,-0.200000003,0.159084916,7,0,1,0.003098107,19.26600075,6.625,0.328999996,44.72555521,-63.10826329
363,1,10,736,726,-0.600000024,0.071310014,8,1,1,0.00195767,18.88400078,5.03000021,0.224999994,44.72113891,-63.1135583
644,1,10.4032259,NA,NA,0,NA,6,2,1,0.000575864,18.64999962,2.798000097,0.089000002,44.14745362,-64.60609509
359,1,10.83333302,609,535,-0.383992612,3.282284737,14,5,1,0.002551424,14.06900024,4.517000198,0.433999985,44.72340083,-63.00528375
688,1,12,575,522,-2.666869879,0.738410592,11,0,1,0.045420833,19.65299988,3.253000021,0.107000001,43.85984492,-64.8692443
691,1,12,578,433,-3.444072008,0.114019476,11,0,1,0.096686825,17.12400055,3.812999964,0.136999995,43.85280875,-64.87555642
706,1,13,279,219,-4.922279835,0.149448842,13,0,1,0.158617318,14.0010004,3.391000032,0.126000002,43.83898609,-64.8729464
51,1,13.30000019,421,267,-3.090931177,8.918883324,9,8,1,0.027864747,NA,NA,NA,45.1671664,-61.69859917
692,1,14,582,387,-3.87077117,0.16537863,11,0,1,0.096947618,16.12999916,3.670000076,0.131999999,43.8509404,-64.87419149
128,1,14.19999981,495,362,-1.959893107,2.011503458,17,7,1,0.001131014,NA,NA,NA,45.13874722,-61.61288637
160,1,14.39999962,602,648,-0.518523812,1.263459325,17,0,1,0.011647955,15.20800018,0.569000006,0.077,45.10322135,-61.72763534
98,1,14.5,273,296,-2.948229551,0.743294001,14,2,1,0.203094795,NA,NA,NA,45.1527255,-61.54620334
1,1,15,NA,NA,0,NA,8,5,2,NA,NA,NA,NA,45.98611452,-61.0102745
349,1,15,581,380,-1.7886585,3.872528076,11,2,1,0.002852131,14.57400036,4.493999958,0.419999987,44.72844156,-63.01279809
361,1,15,585,660,-0.544174552,0.480322659,13,5,1,0.001646494,14.29599953,4.734000206,0.437000006,44.72277048,-63.00837734
411,1,15,600,464,-3.42748642,0.351189315,18,0,1,0.097695455,12.45600033,1.513000011,0.129999995,44.70500073,-62.83076515
418,1,15,501,363,-3.470448256,0.743528843,18,0,2,0.122677192,12.57900047,1.532999992,0.219999999,44.70311542,-62.83430505
478,1,15,420,380,-3.343901396,0.55349344,6,0,1,0.002720247,13.81400013,0.842000008,0.032000002,44.66269016,-63.43926632
628,1,15,657,624,-1.504240513,0.118818395,5,0,1,0.002635875,19.17900085,2.520999908,0.085000001,44.15419114,-64.59752427
636,1,15,545,567,-1.794750452,0.168337941,3,0,1,0.002133208,18.92900085,2.611999989,0.068000004,44.14996124,-64.60703841
638,1,15,589,599,-1.135620594,0.218804121,17,1,1,0.001179206,17.52700043,3.596999884,0.074000001,44.15104794,-64.52785205
651,1,15,629,576,0,0.313919991,7,2,2,0.000948262,17.55800056,1.776000023,0.061999999,44.14407467,-64.59987699
707,1,15,553,333,-4.541298389,0.107331999,13,0,1,0.082839713,14.42500019,3.648999929,0.119999997,43.83799123,-64.87596277
487,1,16,576,638,-0.973214269,0,17,2,1,0.000741049,NA,NA,NA,44.63574426,-63.29387889
668,1,16,597,366,-4.41938448,0.726343513,19,4,1,0.045642924,12.82900047,1.672999978,0.114,43.90420199,-64.77518313
85,1,16.66666603,274,314,-1.742434025,1.645793915,13,8,0,0.141991362,NA,NA,NA,45.15798258,-61.6404737
780,1,17,317,256,-5.486132145,0.179343864,5,0,1,0.090560459,16.92700005,0.973999977,0.052999999,43.51357902,-65.44957942
407,1,17.5,522,692,-0.05036819,0.600190103,21,3,1,0.073536649,13.01500034,1.565000057,0.119999997,44.70689641,-62.83429426
15,1,17.67499924,356,251,-2.230674982,2.407572746,46,8,0,0.183495596,NA,NA,NA,45.33577529,-60.96841621
3,1,18.2142849,764,698,0,0,7,9,1,0.002403124,NA,NA,NA,45.98440602,-61.0207292
248,1,18.70000076,586,609,-2.552626848,0.245977357,11,0,1,0.032699682,14.12699986,1.470000029,0.045000002,44.92309708,-62.28020676
347,1,20,NA,NA,-0.699999988,NA,7,1,1,0.002499307,20.11000061,6.096000195,0.377999991,44.72996296,-63.11180755
