,X,PA,cover,suitability9,suitability12,bathy_m,slope,bpi_broad,bpi_fine,sub_type,rei,temp1m_median,temp1m_qrange,ws1m_q90,coords.lat,coords.lon,biomass,cover.prop,cover.prop.br
1,242,1,0.166666672,259,204,-3.825928688,1.023350358,20,2,0,0.219645232,13.70199966,1.029999971,0.046999998,44.93910033,-62.0550984,23.56981186,0.001666667,0.001666667
2,524,1,0.425000012,293,183,-3.816124916,2.959265947,21,7,0,0.128841043,12.04100037,1.06099999,0.104000002,44.4383423,-64.09596251,23.60477732,0.00425,0.00425
3,743,1,0.600000024,207,147,-3.926789522,2.775625944,15,3,0,0.192719802,14.96500015,1.662999988,0.169,43.69382619,-65.08470769,23.63059352,0.006,0.006
4,395,1,0.625,681,642,0,0.672812998,20,2,1,0.127185747,13.86999989,2.266000032,0.135000005,44.70939637,-62.82058983,23.63442198,0.00625,0.00625
5,399,1,0.625,553,580,-0.794657707,1.627492785,20,1,2,0.123484008,13.54100037,1.837000012,0.112000003,44.70878497,-62.83296334,23.63442198,0.00625,0.00625
6,358,1,0.833333313,631,692,-0.681007862,0.575908363,13,4,1,0.00219258,14.36200047,4.659999847,0.414999992,44.72434579,-63.00970346,23.66769119,0.008333333,0.008333333
7,217,1,1,693,624,-2,0.338686615,16,2,1,0.076874807,15.73900032,2.480000019,0.072999999,45.05007824,-61.88837677,23.696062,0.01,0.01
8,383,1,1,673,658,-0.200000003,0.014400274,10,0,1,0.001690738,19.96500015,3.640000105,0.151999995,44.71324189,-63.13210172,23.696062,0.01,0.01
9,385,1,1,719,676,0,0.004248198,10,0,1,0.001855255,19.69099998,3.654000044,0.151999995,44.7119841,-63.12988952,23.696062,0.01,0.01
10,419,1,1,637,734,-0.899999976,0.404771984,9,0,2,0.047366261,16.6989994,6.357999802,0.243000001,44.70278588,-63.17537416,23.696062,0.01,0.01
11,461,1,1,381,446,-1.183923125,1.046522737,10,3,2,0.166704163,12.61499977,3.072000027,0.244000003,44.68577876,-63.17046448,23.696062,0.01,0.01
12,554,1,1,616,471,-1.371533036,1.972994804,15,2,1,0.00474915,12.70600033,1.162999988,0.138999999,44.39537408,-64.23095845,23.696062,0.01,0.01
13,750,1,1,568,328,-4.41938448,0.664842665,12,0,1,0.063437141,16.88699913,1.345000029,0.086000003,43.64814794,-65.31313479,23.696062,0.01,0.01
14,490,1,1.174999952,443,514,-3.608299971,2.426383495,34,17,0,0.042147059,9.413999557,1.162999988,0.035999998,44.57899028,-63.94165593,23.72753071,0.01175,0.01175
15,491,1,1.174999952,443,242,-4.931049824,1.082484484,21,28,0,0.019284869,9.687000275,0.490999997,0.035999998,44.54762788,-64.19538874,23.72753071,0.01175,0.01175
16,434,1,1.25,655,632,0,0.905657768,23,2,2,0.005830748,13.18200016,1.437000036,0.264999986,44.69839983,-62.8418285,23.74154394,0.0125,0.0125
17,645,1,1.25,575,638,-0.317996204,0.022383291,5,1,1,0.000654033,19.7670002,3.099999905,0.043000001,44.14708936,-64.60958623,23.74154394,0.0125,0.0125
18,724,1,1.850000024,147,96,-4.231500149,4.781327724,17,4,0,0.34484762,14.81999969,1.713999987,0.093999997,43.81579554,-64.84567421,23.86502496,0.0185,0.0185
19,357,1,2.5,610,519,-0.584110618,6.229783058,13,4,1,0.002987362,13.92599964,4.481999874,0.540000021,44.72497615,-63.00705176,24.02161675,0.025,0.025
20,386,1,2.5,640,600,0,1.048702598,20,2,1,0.109051697,14.09000015,2.697000027,0.046,44.71190786,-62.81483779,24.02161675,0.025,0.025
21,390,1,2.5,694,662,0,0.668649137,20,2,1,0.103716828,13.81099987,2.539999962,0.090999998,44.7103353,-62.81661023,24.02161675,0.025,0.025
22,469,1,2.5,644,569,-2.5,0,5,0,1,0.002792196,16.29899979,2.812000036,0.050999999,44.66798949,-63.45387695,24.02161675,0.025,0.025
23,470,1,2.5,645,579,-2.5,0,6,0,1,0.003609568,14.26000023,0.772000015,0.048,44.66740096,-63.44327565,24.02161675,0.025,0.025
24,471,1,2.5,617,575,-2.5,0,6,0,1,0.002982854,15.95699978,2.187999964,0.067000002,44.66705825,-63.45033747,24.02161675,0.025,0.025
25,472,1,2.5,645,578,-2.5,0,6,0,1,0.003620678,13.68900013,0.677999973,0.046999998,44.66646428,-63.44106091,24.02161675,0.025,0.025
26,619,1,2.5,650,640,0,0,6,1,1,0.001513476,20.16200066,3.34100008,0.050999999,44.1595888,-64.5946059,24.02161675,0.025,0.025
27,621,1,2.5,705,712,-0.423709452,0.728235364,5,1,1,0.017316857,19.84499931,3.04399991,0.050999999,44.15861326,-64.59676819,24.02161675,0.025,0.025
28,629,1,2.5,506,522,-1.47015059,0.958536088,5,0,1,0.002396611,19.32099915,2.621999979,0.086999997,44.15423394,-64.59446166,24.02161675,0.025,0.025
29,630,1,2.5,570,562,0,0.478579968,4,1,1,0.001575782,21.06699944,3.417999983,0.021,44.15331505,-64.61500756,24.02161675,0.025,0.025
30,634,1,2.5,627,565,-0.095494926,0.397765338,4,1,1,0.001164521,20.63699913,3.161999941,0.041999999,44.15111012,-64.61494741,24.02161675,0.025,0.025
31,640,1,2.5,536,559,-1.831992388,0.258414567,4,0,1,0.002362006,18.32099915,2.500999928,0.083999999,44.14905317,-64.60438791,24.02161675,0.025,0.025
32,650,1,2.5,611,520,-1.687741518,1.086312652,17,0,1,0.002884522,16.06699944,3.750999928,0.090000004,44.1463112,-64.52860508,24.02161675,0.025,0.025
33,652,1,2.5,448,291,-3.577397346,2.383012295,15,-1,2,0.002302539,16.28100014,3.838999987,0.134000003,44.14477129,-64.52593967,24.02161675,0.025,0.025
34,672,1,2.5,722,723,-0.558629632,0.201741874,4,0,1,0.003125128,22.69300079,3.315999985,0.082000002,43.87493767,-64.90935816,24.02161675,0.025,0.025
35,675,1,2.5,748,741,-0.70805788,0.048299495,5,0,1,0.003265973,22.3560009,3.026000023,0.137999997,43.87347912,-64.90234173,24.02161675,0.025,0.025
36,681,1,2.5,764,767,-0.663428307,0.059699174,6,0,1,0.027603002,21.60499954,3.405999899,0.202000007,43.86877652,-64.90088536,24.02161675,0.025,0.025
37,494,1,2.724999905,590,310,-2.960500002,5.55630064,23,19,0,0.054529987,10.64099979,0.600000024,0.055,44.51500874,-64.21101549,24.0813512,0.027249999,0.027249999
38,695,1,4,549,345,-4.190795422,0.172963455,11,0,1,0.09715195,15.25699997,3.522000074,0.133000001,43.84780505,-64.87322242,24.473563,0.04,0.04
39,500,1,4.867965221,395,579,-2.844194889,3.649058104,34,8,0,0.039110556,11.05000019,1.031999946,0.097999997,44.47754938,-63.77102667,24.79280628,0.048679652,0.048679652
40,387,1,5,746,720,0,0.345962614,20,2,2,0.058602232,13.84799957,2.167000055,0.090000004,44.71035713,-62.83074954,24.845078,0.05,0.05
41,443,1,5,510,502,-1,2.0330019,10,2,2,0.125053689,14.06200027,5.741000175,0.282000005,44.69522186,-63.17667655,24.845078,0.05,0.05
42,765,1,5,640,748,-0.929594636,0.27528882,13,0,1,0.03390079,16.98200035,1.521000028,0.052000001,43.55317804,-65.38012394,24.845078,0.05,0.05
43,389,1,5.625,756,728,0,0.226706624,20,2,1,0.060409497,14.03899956,2.302000046,0.108999997,44.71034643,-62.82367988,25.10580073,0.05625,0.05625
44,408,1,5.833333492,558,460,-2.906534672,0.362609535,18,0,1,0.137749523,12.7159996,1.504999995,0.119000003,44.70688859,-62.82899233,25.1975846,0.058333335,0.058333335
45,719,1,6,728,653,-1.523925662,0.632966459,14,1,1,0.027743062,17.23699951,5.302999973,0.298000008,43.81845143,-64.93279902,25.272767,0.06,0.06
46,351,1,7,723,713,-0.400000006,0.32388258,7,1,1,0.002781989,19.5340004,6.197000027,0.333000004,44.72712547,-63.11357002,25.75663,0.07,0.07
47,755,1,7,562,325,-5.028954506,0.232827172,13,0,1,0.063833199,15.45699978,1.01699996,0.054000001,43.62000623,-65.33330994,25.75663,0.07,0.07
48,300,1,8.399999619,628,705,-0.972128272,0.367570728,17,2,1,0.0026686,12.90400028,1.325999975,0.039000001,44.80824166,-62.55649269,26.52841029,0.083999996,0.083999996
49,477,1,8.75,509,507,-2.557400703,0.304102868,6,0,1,0.002779937,14.26099968,0.874000013,0.030999999,44.6633101,-63.44191999,26.73855894,0.0875,0.0875
50,178,1,10,720,672,-0.061635673,0.120228723,9,1,1,0.002233138,20.73200035,5.149000168,0.152999997,45.07469953,-61.92613976,27.545263,0.1,0.1
51,179,1,10,652,667,-0.619475961,0.85457325,8,0,1,0.002063646,20.96899986,4.993000031,0.157000005,45.07409457,-61.92881899,27.545263,0.1,0.1
52,188,1,10,609,635,-0.821377933,0.988062561,8,0,1,0.002076491,20.44000053,6.136000156,0.148000002,45.07155363,-61.92664331,27.545263,0.1,0.1
53,189,1,10,477,425,-2.28431654,1.658403039,7,0,1,0.024973368,20.02300072,6.493999958,0.171000004,45.07152015,-61.9230869,27.545263,0.1,0.1
54,356,1,10,737,698,-0.200000003,0.159084916,7,0,1,0.003098107,19.26600075,6.625,0.328999996,44.72555521,-63.10826329,27.545263,0.1,0.1
55,363,1,10,736,726,-0.600000024,0.071310014,8,1,1,0.00195767,18.88400078,5.03000021,0.224999994,44.72113891,-63.1135583,27.545263,0.1,0.1
56,359,1,10.83333302,609,535,-0.383992612,3.282284737,14,5,1,0.002551424,14.06900024,4.517000198,0.433999985,44.72340083,-63.00528375,28.13182763,0.10833333,0.10833333
57,688,1,12,575,522,-2.666869879,0.738410592,11,0,1,0.045420833,19.65299988,3.253000021,0.107000001,43.85984492,-64.8692443,29.018555,0.12,0.12
58,691,1,12,578,433,-3.444072008,0.114019476,11,0,1,0.096686825,17.12400055,3.812999964,0.136999995,43.85280875,-64.87555642,29.018555,0.12,0.12
59,706,1,13,279,219,-4.922279835,0.149448842,13,0,1,0.158617318,14.0010004,3.391000032,0.126000002,43.83898609,-64.8729464,29.839462,0.13,0.13
60,692,1,14,582,387,-3.87077117,0.16537863,11,0,1,0.096947618,16.12999916,3.670000076,0.131999999,43.8509404,-64.87419149,30.716543,0.14,0.14
61,160,1,14.39999962,602,648,-0.518523812,1.263459325,17,0,1,0.011647955,15.20800018,0.569000006,0.077,45.10322135,-61.72763534,31.08310377,0.143999996,0.143999996
62,349,1,15,581,380,-1.7886585,3.872528076,11,2,1,0.002852131,14.57400036,4.493999958,0.419999987,44.72844156,-63.01279809,31.649798,0.15,0.15
63,361,1,15,585,660,-0.544174552,0.480322659,13,5,1,0.001646494,14.29599953,4.734000206,0.437000006,44.72277048,-63.00837734,31.649798,0.15,0.15
64,411,1,15,600,464,-3.42748642,0.351189315,18,0,1,0.097695455,12.45600033,1.513000011,0.129999995,44.70500073,-62.83076515,31.649798,0.15,0.15
65,418,1,15,501,363,-3.470448256,0.743528843,18,0,2,0.122677192,12.57900047,1.532999992,0.219999999,44.70311542,-62.83430505,31.649798,0.15,0.15
66,478,1,15,420,380,-3.343901396,0.55349344,6,0,1,0.002720247,13.81400013,0.842000008,0.032000002,44.66269016,-63.43926632,31.649798,0.15,0.15
67,628,1,15,657,624,-1.504240513,0.118818395,5,0,1,0.002635875,19.17900085,2.520999908,0.085000001,44.15419114,-64.59752427,31.649798,0.15,0.15
68,636,1,15,545,567,-1.794750452,0.168337941,3,0,1,0.002133208,18.92900085,2.611999989,0.068000004,44.14996124,-64.60703841,31.649798,0.15,0.15
69,638,1,15,589,599,-1.135620594,0.218804121,17,1,1,0.001179206,17.52700043,3.596999884,0.074000001,44.15104794,-64.52785205,31.649798,0.15,0.15
70,651,1,15,629,576,0,0.313919991,7,2,2,0.000948262,17.55800056,1.776000023,0.061999999,44.14407467,-64.59987699,31.649798,0.15,0.15
71,707,1,15,553,333,-4.541298389,0.107331999,13,0,1,0.082839713,14.42500019,3.648999929,0.119999997,43.83799123,-64.87596277,31.649798,0.15,0.15
72,668,1,16,597,366,-4.41938448,0.726343513,19,4,1,0.045642924,12.82900047,1.672999978,0.114,43.90420199,-64.77518313,32.639227,0.16,0.16
73,780,1,17,317,256,-5.486132145,0.179343864,5,0,1,0.090560459,16.92700005,0.973999977,0.052999999,43.51357902,-65.44957942,33.68483,0.17,0.17
74,407,1,17.5,522,692,-0.05036819,0.600190103,21,3,1,0.073536649,13.01500034,1.565000057,0.119999997,44.70689641,-62.83429426,34.22869675,0.175,0.175
75,248,1,18.70000076,586,609,-2.552626848,0.245977357,11,0,1,0.032699682,14.12699986,1.470000029,0.045000002,44.92309708,-62.28020676,35.59127532,0.187000008,0.187000008
76,406,1,20,717,706,0,0.638786614,21,2,1,0.048543781,12.86499977,1.488999963,0.141000003,44.7069107,-62.8444563,37.158683,0.2,0.2
77,447,1,20,710,699,-0.699999988,0.088435844,14,1,2,0.175623193,13.42199993,4.058000088,0.252000004,44.69469176,-63.09141977,37.158683,0.2,0.2
78,458,1,20,703,643,-0.899999976,0.061970357,11,1,1,0.001413207,18.81299973,3.816999912,0.032000002,44.68864128,-63.15148018,37.158683,0.2,0.2
79,664,1,20,578,473,-2.133495808,1.17988503,19,9,1,0.006957731,10.78899956,1.169999957,0.048,43.91578151,-64.78032262,37.158683,0.2,0.2
80,777,1,21,527,653,-0.914355397,0.953883767,19,3,1,0.008454496,15.27900028,1.118999958,0.30399999,43.51792914,-65.36271472,38.428982,0.21,0.21
81,412,1,21.29999924,396,317,-2.569807291,2.080000162,19,2,2,0.122766942,12.48600006,1.506999969,0.160999998,44.70497962,-62.81706895,38.82102463,0.212999992,0.212999992
82,639,1,21.5,585,596,-0.317263663,0.505562305,4,1,1,0.001294658,19.83300018,2.97300005,0.037999999,44.14926345,-64.61183354,39.08519675,0.215,0.215
83,769,1,22,536,658,-1.066747904,0.962228358,17,2,1,0.069480687,15.96100044,1.639000058,0.079999998,43.54166143,-65.3580101,39.755455,0.22,0.22
84,350,1,22.5,598,658,-1.035752892,0.271199465,11,3,1,0.001931069,15.23799992,4.407000065,0.296999991,44.72781087,-63.01677585,40.43975675,0.225,0.225
85,402,1,22.5,738,735,-0.507448733,0.163485616,20,1,1,0.136116698,13.22299957,1.644999981,0.165000007,44.70816055,-62.83694169,40.43975675,0.225,0.225
86,596,1,23,557,477,-3.047851324,0.832273006,11,3,1,0.032563861,12.94299984,2.198999882,0.172000006,44.26815569,-64.33573899,41.138102,0.23,0.23
87,446,1,25,711,710,-0.5,0.374894083,13,0,1,0.002161477,16.89500046,4.610000134,0.081,44.69467238,-63.11306483,44.071918,0.25,0.25
88,552,1,25,520,493,-2.514477253,0.171754271,10,3,1,0.001813977,15.61499977,1.192999959,0.090999998,44.39468456,-64.29334891,44.071918,0.25,0.25
89,205,1,26.20000076,457,575,-1.607456088,0.935694575,15,5,2,0.076638885,13.18700027,0.962000012,0.143000007,45.06169941,-61.82191307,45.94006289,0.262000008,0.262000008
90,666,1,27,364,357,-2.743066072,2.542346478,13,4,1,0.037492592,11.11699963,0.760999978,0.07,43.91026949,-64.81023432,47.23043,0.27,0.27
91,778,1,28,479,320,-4.876562119,0.210919812,5,0,1,0.07018166,17.33399963,1.281999946,0.055,43.51571809,-65.45269715,48.893947,0.28,0.28
92,299,1,28.39999962,642,645,-1.39309752,0.340244442,18,4,1,0.082161285,12.66899967,1.019000053,0.057,44.80853945,-62.55206436,49.57508187,0.283999996,0.283999996
93,339,1,30,709,722,-0.300000012,0.201823547,6,0,1,0.002195019,20.4279995,5.198999882,0.458999991,44.73468831,-63.11270073,52.389503,0.3,0.3
94,426,1,30,714,696,-0.899999976,0.640075803,10,1,2,0.009148785,15.91300011,5.633999825,0.25999999,44.69994604,-63.17801625,52.389503,0.3,0.3
95,432,1,30,714,660,0,0,12,0,1,0.001683414,11.91300011,1.578999996,0.071000002,44.69906214,-63.13295302,52.389503,0.3,0.3
96,437,1,30,620,614,-1,0.210127547,14,2,1,0.231186911,15.07699966,4.593999863,0.214000002,44.69722463,-63.07463704,52.389503,0.3,0.3
97,456,1,30,667,662,-1,0.690895975,11,2,2,0.122364834,14.09899998,4.249000072,0.194999993,44.68987877,-63.16782631,52.389503,0.3,0.3
98,195,1,31,591,543,-0.300000012,1.2190938,9,1,1,0.001571637,20.24600029,5.836999893,0.129999995,45.06965941,-61.92623415,54.221542,0.31,0.31
99,727,1,31,644,595,-2.590673685,0.263996422,14,1,1,0.052039545,15.76000023,5.123000145,0.312000006,43.80876135,-64.92813496,54.221542,0.31,0.31
100,423,1,32,496,448,-2.904620409,1.107718825,18,0,2,0.078400552,12.47599983,1.575999975,0.208000004,44.70122428,-62.83386866,56.109755,0.32,0.32
101,717,1,33.25,536,458,-1,5.289764881,14,1,1,0.018563414,16.50499916,5.051000118,0.294,43.82039263,-64.92981506,58.54901594,0.3325,0.3325
102,236,1,34.40000153,304,176,-4.074108601,3.205624819,10,3,1,0.001742689,13.50699997,0.967000008,0.035,44.95135378,-62.17247805,60.87065926,0.344000015,0.344000015
103,444,1,35,763,735,-0.800000012,0.191158697,10,1,1,0.00947344,17.02700043,4.382999897,0.136999995,44.69524597,-63.16033221,62.111438,0.35,0.35
104,235,1,37,612,678,-1.143687487,0.692304075,11,1,2,0.0585467,14.62699986,2.561000109,0.090000004,44.953698,-62.23767103,66.39343,0.37,0.37
105,352,1,37.5,597,549,-0.629190207,3.236701012,13,4,1,0.002752381,14.20499992,4.578999996,0.518000007,44.72623628,-63.00970377,67.49903675,0.375,0.375
106,424,1,37.5,632,540,-3.555481434,0.370064229,19,0,2,0.04008751,12.50500011,1.422999978,0.209999993,44.70092232,-62.84314698,67.49903675,0.375,0.375
107,465,1,37.5,648,577,-2.5,0,5,0,1,0.003160241,16.44400024,2.813999891,0.059999999,44.67146757,-63.45081317,67.49903675,0.375,0.375
108,624,1,37.5,677,652,-0.247774124,0.685301483,5,1,1,0.002443607,19.63800049,2.73300004,0.052999999,44.15572935,-64.60019193,67.49903675,0.375,0.375
109,632,1,37.5,617,665,-0.816000402,0.104116119,3,0,1,0.001610173,20.09799957,2.792000055,0.052999999,44.15177719,-64.61233964,67.49903675,0.375,0.375
110,633,1,37.5,509,520,-1.843546271,0.733552814,16,0,2,0.002254065,17.35899925,3.611000061,0.048999999,44.15259367,-64.53008028,67.49903675,0.375,0.375
111,635,1,37.5,589,616,-1.343427062,0.065895163,3,0,1,0.002180065,19.28800011,2.737999916,0.064999998,44.1511904,-64.60926006,67.49903675,0.375,0.375
112,637,1,37.5,600,489,-2.726893902,0.692534566,15,0,1,0.003610519,16.56800079,3.171000004,0.057,44.15098934,-64.5322271,67.49903675,0.375,0.375
113,674,1,37.5,771,765,-0.5198825,0.027163068,5,0,1,0.0262265,22.62599945,3.15899992,0.093000002,43.87467362,-64.90630036,67.49903675,0.375,0.375
114,677,1,37.5,711,701,-0.957378745,0.374512702,5,0,1,0.004553879,22.43300056,2.948999882,0.115999997,43.87184629,-64.9057746,67.49903675,0.375,0.375
115,400,1,39.2857132,738,714,0,0.461913854,21,2,2,0.057493493,13.18999958,1.633999944,0.209000006,44.70848063,-62.84047552,71.56227058,0.392857132,0.392857132
